RecNum,ID,Name,Email,Units,Program,Level,NumAbsences,Dates
10,3255,"Mort,Kris",0,4,CS,1,Mon Apr  6 10:10:32 2026

9,1222,"Willis,Bruce",0,AU,CS,1,Mon Apr  6 10:10:32 2026

8,1122,"Smith,Jane",0,4,CS,1,Mon Apr  6 10:10:32 2026

7,7759,"Sam,Theo",0,4,EE,1,Mon Apr  6 10:10:32 2026

6,5530,"Payton,Ella",0,4,CPTE,1,Mon Apr  6 10:10:32 2026

5,2121,"James,Hannah",0,4,CS,1,Mon Apr  6 10:10:32 2026

4,4478,"Art,Bruce",0,AU,CPTE,1,Mon Apr  6 10:10:32 2026

3,1121,"Leinart,Timothy",0,4,EE,1,Mon Apr  6 10:10:32 2026

2,8147,"Beck,Sara",0,4,EE,1,Mon Apr  6 10:10:32 2026

1,1111,"Smith,John",0,4,CS,1,Mon Apr  6 10:10:32 2026

